Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/30/2013	181	1	7	TR	6/27/2013	178	100-A	100	100-A_2013_6_27
6/30/2013	181	1	8	TR	6/27/2013	178	109-B	109	109-B_2013_6_27
6/30/2013	181	1	9	TR	6/27/2013	178	106-A	106	106-A_2013_6_27
7/8/2013	189	1	1	TR	7/5/2013	186	101	101	101_2013_7_5
7/8/2013	189	1	2	TR	7/5/2013	186	4A	4A	4A_2013_7_5
7/8/2013	189	1	3	TR	7/3/2013	184	4A-B	4A	4A-B_2013_7_3
7/8/2013	189	1	4	TR	7/3/2013	184	4A-D	4A	4A-D_2013_7_3
7/8/2013	189	1	5	TR	7/3/2013	184	115	115	115_2013_7_3
7/8/2013	189	1	8	TR	7/7/2013	188	35	35	35_2013_7_7
7/8/2013	189	1	9	TR	7/7/2013	188	1	1	1_2013_7_7
7/10/2013	191	1	1	TR	7/9/2013	190	111-B	111	111-B_2013_7_9
7/10/2013	191	1	2	TR	7/9/2013	190	111-A	111	111-A_2013_7_9
7/10/2013	191	1	3	TR	7/9/2013	190	118	118	118_2013_7_9
6/2/2013	153	1	1	BL	5/26/2013	146	7A-B	7A	7A-B_2013_5_26
6/2/2013	153	1	2	BL	5/26/2013	146	1A-B	1A	1A-B_2013_5_26
6/2/2013	153	1	3	BL	5/21/2013	141	17A-A	17A	17A-A_2013_5_21
6/2/2013	153	1	4	BL	5/26/2013	146	7A-A	7A	7A-A_2013_5_26
6/2/2013	153	1	5	BL	5/17/2013	137	1A	1A	1A_2013_5_17
6/2/2013	153	1	6	BL	5/22/2013	142	5A	5A	5A_2013_5_22
6/2/2013	153	1	7	BL	5/26/2013	146	3A-G	3A	3A-G_2013_5_26
6/2/2013	153	1	8	BL	5/21/2013	141	1A-A	1A	1A-A_2013_5_21
6/2/2013	153	1	9	BL	5/24/2013	144	6A-A	6A	6A-A_2013_5_24
6/2/2013	153	2	1	BL	5/26/2013	146	8A-F	8A	8A-F_2013_5_26
6/2/2013	153	2	2	BL	5/28/2013	148	8A-A	8A	8A-A_2013_5_28
6/2/2013	153	2	3	BL	5/28/2013	148	4A-A	4A	4A-A_2013_5_28
6/2/2013	153	2	4	BL	5/28/2013	148	19A-B	19A	19A-B_2013_5_28
